question,answer,feedback
Kako upisati sat,"'Da biste upisali sat u e-Dnevnik, slijedite ove korake:\n\n1. Na izborniku koji se nalazi na lijevoj strani odaberite opciju „Dnevnik Rada“.\n2. Kliknite na „Upiši Sat“. Time će vam se otvoriti skočni prozor.\n3. U skočnom prozoru odaberite predmet, upišite naziv nastavne jedinice, bilješku za sat, i označite izostale učenike.\n4. Na kraju, klikom na gumb ""Spremi"" uspješno upisujete nastavni sat.\n\nUkoliko se dva različita predmeta održavaju istovremeno (na primjer, njemački jezik i engleski jezik), možete kliknuti na gumb sa znakom plus (+) kako biste ih dodali na isti sat【27:0†izvor】.'",NaN
a,"'Izgleda da vaša poruka nije potpuna. Kako vam mogu pomoći? Ako imate pitanja ili trebate više informacija, slobodno ih postavite.'",NaN
Kako unijeti ocjenu?,"'Nažalost, nemam pristup specifičnim tehničkim detaljima vašeg sustava e-Dnevnika. Preporučujem da potražite korisničke upute unutar sučelja e-Dnevnika ili se obratite administratoru sustava za precizne smjernice o unosu ocjena. Ako imate bilo kakvih drugih pitanja ili trebate dodatnu pomoć, slobodno se obratite.'",NaN
Kako unijeti ocjenu?,"'Nažalost, nemam pristup specifičnim tehničkim detaljima sustava e-Dnevnika. Preporučujem da potražite upute unutar sučelja e-Dnevnika ili se obratite administratoru sustava za precizne smjernice o unosu ocjena. Ako imate poteškoća, podrška sustava bi vam mogla pružiti točne smjernice.'",NaN
Kako unijeti ocjenu?,"'Nažalost, nemam pristup specifičnim tehničkim detaljima sustava e-Dnevnika. Preporučujem da potražite korisničke upute unutar sučelja e-Dnevnika ili se obratite administratoru sustava za precizne smjernice o unosu ocjena. Ako imate poteškoća, tehnička podrška može pružiti točne smjernice za unos ocjena.'",NaN
Kako unijeti ocjenu?,"'Nažalost, nemam pristup specifičnim tehničkim detaljima sustava e-Dnevnika. Preporučujem da potražite korisničke upute unutar sučelja e-Dnevnika ili se obratite administratoru sustava za precizne smjernice o unosu ocjena. Ako imate bilo kakvih drugih pitanja, slobodno se obratite.'",NaN
Kako unijeti ocjenu?,"'Nažalost, nemam pristup specifičnim tehničkim detaljima sustava e-Dnevnika. Preporučujem da potražite upute unutar sučelja e-Dnevnika ili se obratite administratoru sustava za precizne smjernice o unosu ocjena. Ako imate dodatnih pitanja, slobodno se obratite.'",NaN
Kako unijeti ocjenu?,"'Za unos ocjene u e-Dnevniku slijedite sljedeće korake:\n1. Na izborniku koji se nalazi na lijevoj strani odaberite opciju ""Imenik"".\n2. Prikazat će vam se svi učenici koji se nalaze u tom odjeljenju. Odaberite željenog učenika i kliknite na gumb ""Otvori"".\n3. Nakon toga će se otvoriti novo sučelje sa sekcijom ""Ocjene"". Kliknite na gumb s ikonicom plus (+).\n4. Unesite ocjenu i datum te potvrdite unos.\n\nOvako možete jednostavno unijeti ocjenu za odabranog učenika u e-Dnevniku【4:0†source】.'",NaN
Kako unijeti ocjenu?,"'Nažalost, nemam pristup specifičnim tehničkim detaljima sustava e-Dnevnika. Preporučujem da potražite upute unutar sučelja e-Dnevnika ili se obratite administratoru sustava za precizne smjernice o unosu ocjena. Ako imate bilo kakvih drugih pitanja, slobodno se obratite.'",NaN
Kako unijeti ocjenu?,"'Nažalost, nemam pristup specifičnim tehničkim detaljima sustava e-Dnevnika. Preporučujem da potražite korisničke upute unutar sučelja e-Dnevnika ili se obratite administratoru sustava za precizne smjernice o unosu ocjena. Ako imate bilo kakvih drugih pitanja ili trebate dodatnu pomoć, slobodno se obratite.'",NaN
Kako unijeti ocjenu?,"'Za unos ocjene u e-Dnevniku potrebno je slijediti sljedeće korake:\n\n1. Na izborniku koji se nalazi na lijevoj strani odaberite opciju ""Imenik"".\n2. Prikazat će vam se svi učenici koji se nalaze u tom odjeljenju. Odaberite željenog učenika klikom na gumb ""Otvori"".\n3. Nakon toga će se otvoriti novo sučelje sa sekcijom ""Ocjene"". Kliknite na gumb s ikonicom plus (+) kako biste unijeli ocjenu.\n4. Unesite željenu ocjenu i datum u predviđena polja.\n\nNa taj način možete uspješno unijeti ocjenu za odabranog učenika u e-Dnevniku【4:0†source】.'",NaN
Kako unijeti ocjenu?,"'Za unos ocjene u e-Dnevniku, slijedite ove korake:\n\n1. Na izborniku s lijeve strane odaberite opciju ""Imenik"".\n2. Prikazat će vam se svi učenici u tom odjeljenju. Kliknite na gumb ""Otvori"" pored imena učenika kojem želite unijeti ocjenu.\n3. Otvorit će se novo sučelje sa sekcijom ""Ocjene"". Kliknite na gumb sa znakom plus (+).\n4. Unesite ocjenu i datum u predviđena polja.\n\nNa taj način možete uspješno unijeti ocjenu za odabranog učenika【8:0†source】.'",NaN
Kako unijeti ocjenu?,"'Za unos ocjene u e-Dnevniku, slijedite ove korake:\n\n1. Na izborniku s lijeve strane odaberite opciju ""Imenik"".\n2. Prikazat će vam se svi učenici u tom odjeljenju. Kliknite na gumb ""Otvori"" pored imena učenika kojem želite unijeti ocjenu.\n3. Otvorit će se novo sučelje sa sekcijom ""Ocjene"". Kliknite na gumb sa znakom plus (+).\n4. Unesite ocjenu i datum u predviđena polja.\n\nNa taj način možete uspješno unijeti ocjenu za odabranog učenika【12:0†source】.'",NaN
